Joint,Motion Type,Position,Velocity,Tolerance,Delay (ms)
Elbow,Auto,2143,45,10,0,
Shoulder,Auto,2285,30,5,0,
Wrist Flex,Auto,2261,30,5,0,
Hand,Auto,2622,90,10,0,
Elbow,Auto,1967,25,5,0,
Hand,Auto,2130,90,30,200,
Elbow,Auto,2079,25,10,0,
Shoulder,Auto,1830,25,5,0,
Wrist Flex,Auto,2316,45,5,0,
Elbow,Auto,1957,45,10,0,
Hand,Auto,2800,90,10,0,
Elbow,Auto,2025,45,10,0,
Shoulder,Auto,2312,45,5,0,
Elbow,Auto,1709,45,10,0,
Hand,Auto,2535,90,10,0,
Elbow,Auto,2045,45,10,0,
Shoulder,Auto,1866,45,5,0,
Elbow,Auto,2180,45,5,0,
Wrist Flex,Auto,1635,35,5,0,
Elbow,Auto,2150,35,5,0,
Hand,Auto,2800,90,10,0,
Elbow,Auto,2452,45,10,0,
Hand,Auto,1981,90,10,0,
